date,cc,rate
2023-07-09,PLN,8.8975
2023-07-10,PLN,8.8884
2023-07-11,PLN,9.0008
2023-07-12,PLN,9.0141
2023-07-13,PLN,9.0539
2023-07-14,PLN,9.2198
2023-07-15,PLN,9.2198
2023-07-16,PLN,9.2198
2023-07-17,PLN,9.2312
2023-07-18,PLN,9.2329
2023-07-19,PLN,9.252
2023-07-20,PLN,9.2147
2023-07-21,PLN,9.2085
2023-07-22,PLN,9.2085
2023-07-23,PLN,9.2085
2023-07-24,PLN,9.1262
2023-07-25,PLN,9.1255
2023-07-26,PLN,9.1289
2023-07-27,PLN,9.1497
2023-07-28,PLN,9.1994
2023-07-29,PLN,9.1994
2023-07-30,PLN,9.1994
2023-07-31,PLN,9.12
2023-08-01,PLN,9.1566
2023-08-02,PLN,9.0682
2023-08-03,PLN,9.0317
2023-08-04,PLN,8.9666
2023-08-05,PLN,8.9666
2023-08-06,PLN,8.9666
2023-08-07,PLN,8.9938
2023-08-08,PLN,9.0967
2023-08-09,PLN,9.0099
2023-08-10,PLN,8.9847
2023-08-11,PLN,9.0315
2023-08-12,PLN,9.0315
2023-08-13,PLN,9.0315
2023-08-14,PLN,9.0646
2023-08-15,PLN,9.0239
2023-08-16,PLN,8.9044
2023-08-17,PLN,8.9642
2023-08-18,PLN,8.9074
2023-08-19,PLN,8.9074
2023-08-20,PLN,8.9074
2023-08-21,PLN,8.8806
2023-08-22,PLN,8.9057
2023-08-23,PLN,8.915
2023-08-24,PLN,8.8289
2023-08-25,PLN,8.8587
2023-08-26,PLN,8.8587
2023-08-27,PLN,8.8587
2023-08-28,PLN,8.842
2023-08-29,PLN,8.8283
2023-08-30,PLN,8.8392
2023-08-31,PLN,8.8934
2023-09-01,PLN,8.8957
2023-09-02,PLN,8.8957
2023-09-03,PLN,8.8957
2023-09-04,PLN,8.8662
2023-09-05,PLN,8.8445
2023-09-06,PLN,8.7432
2023-09-07,PLN,8.7261
2023-09-08,PLN,8.5335
2023-09-09,PLN,8.5335
2023-09-10,PLN,8.5335
2023-09-11,PLN,8.4663
2023-09-12,PLN,8.4458
2023-09-13,PLN,8.405
2023-09-14,PLN,8.4988
2023-09-15,PLN,8.4742
2023-09-16,PLN,8.4742
2023-09-17,PLN,8.4742
2023-09-18,PLN,8.4043
2023-09-19,PLN,8.4052
2023-09-20,PLN,8.4056
2023-09-21,PLN,8.4281
2023-09-22,PLN,8.4075
2023-09-23,PLN,8.4075
2023-09-24,PLN,8.4075
2023-09-25,PLN,8.4624
2023-09-26,PLN,8.4714
2023-09-27,PLN,8.4091
2023-09-28,PLN,8.3429
2023-09-29,PLN,8.3165
2023-09-30,PLN,8.3165
2023-10-01,PLN,8.3165
2023-10-02,PLN,8.3704
2023-10-03,PLN,8.3526
2023-10-04,PLN,8.2871
2023-10-05,PLN,8.3021
2023-10-06,PLN,8.3708
2023-10-07,PLN,8.3708
2023-10-08,PLN,8.3708
2023-10-09,PLN,8.4106
2023-10-10,PLN,8.4014
2023-10-11,PLN,8.4667
2023-10-12,PLN,8.5554
2023-10-13,PLN,8.5318
2023-10-14,PLN,8.5318
2023-10-15,PLN,8.5318
2023-10-16,PLN,8.4369
2023-10-17,PLN,8.5546
2023-10-18,PLN,8.7105
2023-10-19,PLN,8.6923
2023-10-20,PLN,8.6801
2023-10-21,PLN,8.6801
2023-10-22,PLN,8.6801
2023-10-23,PLN,8.6674
2023-10-24,PLN,8.6964
2023-10-25,PLN,8.7174
2023-10-26,PLN,8.6148
2023-10-27,PLN,8.607
2023-10-28,PLN,8.607
2023-10-29,PLN,8.607
2023-10-30,PLN,8.5746
2023-10-31,PLN,8.653
2023-11-01,PLN,8.6812
2023-11-02,PLN,8.5627
2023-11-03,PLN,8.6931
2023-11-04,PLN,8.6931
2023-11-05,PLN,8.6931
2023-11-06,PLN,8.7086
2023-11-07,PLN,8.6691
2023-11-08,PLN,8.6265
2023-11-09,PLN,8.6108
2023-11-10,PLN,8.6585
2023-11-11,PLN,8.6585
2023-11-12,PLN,8.6585
2023-11-13,PLN,8.7107
2023-11-14,PLN,8.7175
2023-11-15,PLN,8.8163
2023-11-16,PLN,8.9612
2023-11-17,PLN,8.9981
2023-11-18,PLN,8.9981
2023-11-19,PLN,8.9981
2023-11-20,PLN,8.9709
2023-11-21,PLN,9.0144
2023-11-22,PLN,9.0407
2023-11-23,PLN,9.0142
2023-11-24,PLN,8.9957
2023-11-25,PLN,8.9957
2023-11-26,PLN,8.9957
2023-11-27,PLN,9.0189
2023-11-28,PLN,9.1033
2023-11-29,PLN,9.1586
2023-11-30,PLN,9.2239
2023-12-01,PLN,9.1384
2023-12-02,PLN,9.1384
2023-12-03,PLN,9.1384
2023-12-04,PLN,9.1277
2023-12-05,PLN,9.149
2023-12-06,PLN,9.1661
2023-12-07,PLN,9.1139
2023-12-08,PLN,9.1233
2023-12-09,PLN,9.1233
2023-12-10,PLN,9.1233
2023-12-11,PLN,9.1451
2023-12-12,PLN,9.1611
2023-12-13,PLN,9.2008
2023-12-14,PLN,9.2261
2023-12-15,PLN,9.376
2023-12-16,PLN,9.376
2023-12-17,PLN,9.376
2023-12-18,PLN,9.3936
2023-12-19,PLN,9.3467
2023-12-20,PLN,9.4346
2023-12-21,PLN,9.4546
2023-12-22,PLN,9.5111
2023-12-23,PLN,9.5111
2023-12-24,PLN,9.5111
2023-12-25,PLN,9.5279
2023-12-26,PLN,9.5385
2023-12-27,PLN,9.4901
2023-12-28,PLN,9.6137
2023-12-29,PLN,9.7333
2023-12-30,PLN,9.7333
2023-12-31,PLN,9.7333
2024-01-01,PLN,9.6796
2024-01-02,PLN,9.6606
2024-01-03,PLN,9.558
2024-01-04,PLN,9.5373
2024-01-05,PLN,9.5872
2024-01-06,PLN,9.5872
2024-01-07,PLN,9.5872
2024-01-08,PLN,9.5416
2024-01-09,PLN,9.6165
2024-01-10,PLN,9.6305
2024-01-11,PLN,9.6294
2024-01-12,PLN,9.6008
2024-01-13,PLN,9.6008
2024-01-14,PLN,9.6008
2024-01-15,PLN,9.4881
2024-01-16,PLN,9.5057
2024-01-17,PLN,9.4125
2024-01-18,PLN,9.3716
2024-01-19,PLN,9.3287
2024-01-20,PLN,9.3287
2024-01-21,PLN,9.3287
2024-01-22,PLN,9.3606
2024-01-23,PLN,9.3506
2024-01-24,PLN,9.2868
2024-01-25,PLN,9.3472
2024-01-26,PLN,9.3466
2024-01-27,PLN,9.3466
2024-01-28,PLN,9.3466
2024-01-29,PLN,9.3771
2024-01-30,PLN,9.3892
2024-01-31,PLN,9.4155
2024-02-01,PLN,9.3935
2024-02-02,PLN,9.3768
2024-02-03,PLN,9.3768
2024-02-04,PLN,9.3768
2024-02-05,PLN,9.4766
2024-02-06,PLN,9.3196
2024-02-07,PLN,9.2843
2024-02-08,PLN,9.3169
2024-02-09,PLN,9.3124
2024-02-10,PLN,9.3124
2024-02-11,PLN,9.3124
2024-02-12,PLN,9.3763
2024-02-13,PLN,9.4424
2024-02-14,PLN,9.5107
2024-02-15,PLN,9.4151
2024-02-16,PLN,9.3897
2024-02-17,PLN,9.3897
2024-02-18,PLN,9.3897
2024-02-19,PLN,9.4223
2024-02-20,PLN,9.5276
2024-02-21,PLN,9.6103
2024-02-22,PLN,9.6704
2024-02-23,PLN,9.6648
2024-02-24,PLN,9.6648
2024-02-25,PLN,9.6648
2024-02-26,PLN,9.639
2024-02-27,PLN,9.6586
2024-02-28,PLN,9.6735
2024-02-29,PLN,9.6105
2024-03-01,PLN,9.5395
2024-03-02,PLN,9.5395
