date,cc,rate,trend_kind,y_trend,residual
2023-01-14,CNY,5.4174,quadratic,5.146390826426503,0.2710091735734972
2023-01-15,CNY,5.4174,quadratic,5.146804544622282,0.2705954553777179
2023-01-16,CNY,5.4373,quadratic,5.1472190882759445,0.29008091172405503
2023-01-17,CNY,5.4319,quadratic,5.1476344573874915,0.28426554261250825
2023-01-18,CNY,5.3961,quadratic,5.148050651956922,0.24804934804307788
2023-01-19,CNY,5.4149,quadratic,5.1484676719842355,0.2664323280157648
2023-01-20,CNY,5.3895,quadratic,5.1488855174694335,0.2406144825305665
2023-01-21,CNY,5.3895,quadratic,5.149304188412515,0.24019581158748515
2023-01-22,CNY,5.3895,quadratic,5.1497236848134795,0.23977631518652043
2023-01-23,CNY,5.392,quadratic,5.150144006672328,0.2418559933276727
2023-01-24,CNY,5.3835,quadratic,5.15056515398906,0.23293484601093972
2023-01-25,CNY,5.3835,quadratic,5.150987126763677,0.23251287323632308
2023-01-26,CNY,5.3835,quadratic,5.151409924996176,0.23209007500382395
2023-01-27,CNY,5.3835,quadratic,5.151833548686559,0.23166645131344055
2023-01-28,CNY,5.3835,quadratic,5.152257997834826,0.23124200216517377
2023-01-29,CNY,5.3835,quadratic,5.152683272440977,0.23081672755902272
2023-01-30,CNY,5.3835,quadratic,5.153109372505011,0.2303906274949883
2023-01-31,CNY,5.4171,quadratic,5.153536298026929,0.26356370197307033
2023-02-01,CNY,5.4128,quadratic,5.153964049006731,0.2588359509932685
2023-02-02,CNY,5.4243,quadratic,5.154392625444417,0.2699073745555829
2023-02-03,CNY,5.4385,quadratic,5.154822027339986,0.2836779726600147
2023-02-04,CNY,5.4385,quadratic,5.155252254693439,0.2832477453065616
2023-02-05,CNY,5.4385,quadratic,5.155683307504774,0.282816692495226
2023-02-06,CNY,5.4277,quadratic,5.156115185773995,0.27158481422600467
2023-02-07,CNY,5.393,quadratic,5.156547889501098,0.23645211049890147
2023-02-08,CNY,5.3884,quadratic,5.156981418686086,0.23141858131391402
2023-02-09,CNY,5.3888,quadratic,5.157415773328957,0.23138422667104308
2023-02-10,CNY,5.3961,quadratic,5.157850953429712,0.23824904657028778
2023-02-11,CNY,5.3961,quadratic,5.15828695898835,0.23781304101164924
2023-02-12,CNY,5.3961,quadratic,5.158723790004872,0.23737620999512732
2023-02-13,CNY,5.3672,quadratic,5.1591614464792785,0.20803855352072187
2023-02-14,CNY,5.3587,quadratic,5.159599928411568,0.19910007158843168
2023-02-15,CNY,5.3672,quadratic,5.160039235801741,0.20716076419825935
2023-02-16,CNY,5.3442,quadratic,5.160479368649797,0.18372063135020245
2023-02-17,CNY,5.3345,quadratic,5.160920326955738,0.17357967304426225
2023-02-18,CNY,5.3345,quadratic,5.161362110719563,0.17313788928043738
2023-02-19,CNY,5.3345,quadratic,5.16180471994127,0.17269528005873003
2023-02-20,CNY,5.3163,quadratic,5.162248154620862,0.15405184537913819
2023-02-21,CNY,5.3315,quadratic,5.162692414758337,0.16880758524166328
2023-02-22,CNY,5.3152,quadratic,5.163137500353696,0.1520624996463038
2023-02-23,CNY,5.3056,quadratic,5.163583411406939,0.14201658859306132
2023-02-24,CNY,5.3011,quadratic,5.164030147918065,0.13706985208193512
2023-02-25,CNY,5.3011,quadratic,5.164477709887074,0.1366222901129257
2023-02-26,CNY,5.3011,quadratic,5.164926097313968,0.13617390268603202
2023-02-27,CNY,5.2664,quadratic,5.165375310198745,0.10102468980125501
2023-02-28,CNY,5.2597,quadratic,5.165825348541406,0.0938746514585933
2023-03-01,CNY,5.2709,quadratic,5.166276212341951,0.10462378765804914
2023-03-02,CNY,5.3264,quadratic,5.166727901600379,0.1596720983996205
2023-03-03,CNY,5.2921,quadratic,5.1671804163166914,0.12491958368330813
2023-03-04,CNY,5.2921,quadratic,5.167633756490886,0.12446624350911328
2023-03-05,CNY,5.2921,quadratic,5.168087922122966,0.12401207787703328
2023-03-06,CNY,5.2937,quadratic,5.168542913212929,0.1251570867870715
2023-03-07,CNY,5.2719,quadratic,5.168998729760776,0.10290127023922402
2023-03-08,CNY,5.2725,quadratic,5.169455371766506,0.10304462823349425
2023-03-09,CNY,5.2564,quadratic,5.16991283923012,0.08648716076988006
2023-03-10,CNY,5.2498,quadratic,5.170371132151618,0.07942886784838166
2023-03-11,CNY,5.2498,quadratic,5.170830250530999,0.07896974946900048
2023-03-12,CNY,5.2498,quadratic,5.171290194368264,0.07850980563173593
2023-03-13,CNY,5.2616,quadratic,5.1717509636634125,0.08984903633658714
2023-03-14,CNY,5.3312,quadratic,5.172212558416445,0.15898744158355527
2023-03-15,CNY,5.3243,quadratic,5.172674978627361,0.1516250213726389
2023-03-16,CNY,5.2983,quadratic,5.173138224296161,0.12516177570383924
2023-03-17,CNY,5.3036,quadratic,5.173602295422844,0.1299977045771561
2023-03-18,CNY,5.3036,quadratic,5.174067192007411,0.12953280799258948
2023-03-19,CNY,5.3036,quadratic,5.174532914049862,0.1290670859501386
2023-03-20,CNY,5.3121,quadratic,5.174999461550196,0.13710053844980408
2023-03-21,CNY,5.3151,quadratic,5.1754668345084145,0.13963316549158566
2023-03-22,CNY,5.3197,quadratic,5.175935032924516,0.1437649670754837
2023-03-23,CNY,5.3125,quadratic,5.176404056798502,0.13609594320149832
2023-03-24,CNY,5.3545,quadratic,5.17687390613037,0.17762609386962946
2023-03-25,CNY,5.3545,quadratic,5.177344580920123,0.17715541907987653
2023-03-26,CNY,5.3545,quadratic,5.17781608116776,0.17668391883224022
2023-03-27,CNY,5.3215,quadratic,5.17828840687328,0.14321159312672016
2023-03-28,CNY,5.3141,quadratic,5.178761558036683,0.13533844196331657
2023-03-29,CNY,5.3171,quadratic,5.1792355346579715,0.13786446534202845
2023-03-30,CNY,5.3119,quadratic,5.179710336737142,0.13218966326285742
2023-03-31,CNY,5.3142,quadratic,5.180185964274197,0.1340140357258024
2023-04-01,CNY,5.3142,quadratic,5.180662417269136,0.13353758273086402
2023-04-02,CNY,5.3142,quadratic,5.181139695721958,0.13306030427804139
2023-04-03,CNY,5.3192,quadratic,5.181617799632663,0.13758220036733704
2023-04-04,CNY,5.3111,quadratic,5.182096729001253,0.12900327099874698
2023-04-05,CNY,5.3127,quadratic,5.182576483827726,0.13012351617227402
2023-04-06,CNY,5.3157,quadratic,5.1830570641120834,0.1326429358879162
2023-04-07,CNY,5.3205,quadratic,5.183538469854324,0.13696153014567614
2023-04-08,CNY,5.3205,quadratic,5.184020701054448,0.13647929894555233
2023-04-09,CNY,5.3205,quadratic,5.184503757712456,0.13599624228754426
2023-04-10,CNY,5.3123,quadratic,5.184987639828347,0.12731236017165237
2023-04-11,CNY,5.3171,quadratic,5.185472347402123,0.131627652597877
2023-04-12,CNY,5.3113,quadratic,5.185957880433781,0.125342119566219
2023-04-13,CNY,5.3127,quadratic,5.1864442389233245,0.1262557610766759
2023-04-14,CNY,5.3167,quadratic,5.18693142287075,0.1297685771292496
2023-04-15,CNY,5.3167,quadratic,5.1874194322760605,0.12928056772393948
2023-04-16,CNY,5.3167,quadratic,5.187908267139254,0.12879173286074597
2023-04-17,CNY,5.3354,quadratic,5.188397927460331,0.14700207253966902
2023-04-18,CNY,5.3227,quadratic,5.188888413239292,0.13381158676070815
2023-04-19,CNY,5.3188,quadratic,5.189379724476137,0.12942027552386381
2023-04-20,CNY,5.3023,quadratic,5.189871861170865,0.11242813882913438
2023-04-21,CNY,5.315,quadratic,5.190364823323477,0.12463517667652368
2023-04-22,CNY,5.315,quadratic,5.190858610933972,0.12414138906602812
2023-04-23,CNY,5.315,quadratic,5.191353224002352,0.12364677599764828
2023-04-24,CNY,5.3089,quadratic,5.191848662528615,0.11705133747138508
2023-04-25,CNY,5.3055,quadratic,5.192344926512762,0.11315507348723841
2023-04-26,CNY,5.2832,quadratic,5.192842015954792,0.090357984045208
2023-04-27,CNY,5.2821,quadratic,5.193339930854706,0.08876006914529366
2023-04-28,CNY,5.2814,quadratic,5.193838671212504,0.0875613287874959
2023-04-29,CNY,5.2814,quadratic,5.194338237028185,0.0870617629718149
2023-04-30,CNY,5.2814,quadratic,5.19483862830175,0.08656137169824962
2023-05-01,CNY,5.2851,quadratic,5.195339845033199,0.08976015496680123
2023-05-02,CNY,5.2859,quadratic,5.195841887222532,0.09005811277746822
2023-05-03,CNY,5.2859,quadratic,5.196344754869747,0.08955524513025281
2023-05-04,CNY,5.2859,quadratic,5.196848447974847,0.08905155202515314
2023-05-05,CNY,5.291,quadratic,5.197352966537831,0.09364703346216974
2023-05-06,CNY,5.291,quadratic,5.197858310558698,0.09314168944130241
2023-05-07,CNY,5.291,quadratic,5.198364480037449,0.0926355199625517
2023-05-08,CNY,5.2926,quadratic,5.198871474974083,0.09372852502591744
2023-05-09,CNY,5.2865,quadratic,5.199379295368601,0.08712070463139909
2023-05-10,CNY,5.2833,quadratic,5.199887941221003,0.08341205877899682
2023-05-11,CNY,5.2813,quadratic,5.200397412531288,0.08090258746871193
2023-05-12,CNY,5.2715,quadratic,5.200907709299457,0.07059229070054229
2023-05-13,CNY,5.2715,quadratic,5.20141883152551,0.07008116847448953
2023-05-14,CNY,5.2715,quadratic,5.201930779209446,0.06956922079055339
2023-05-15,CNY,5.2598,quadratic,5.202443552351267,0.0573564476487336
2023-05-16,CNY,5.26,quadratic,5.2029571509509704,0.05704284904902934
2023-05-17,CNY,5.2503,quadratic,5.2034715750085585,0.046828424991441686
2023-05-18,CNY,5.2271,quadratic,5.203986824524029,0.023113175475971026
2023-05-19,CNY,5.2037,quadratic,5.204502899497384,-0.0008028994973834358
2023-05-20,CNY,5.2037,quadratic,5.205019799928623,-0.0013197999286225226
2023-05-21,CNY,5.2037,quadratic,5.2055375258177445,-0.0018375258177441012
2023-05-22,CNY,5.2148,quadratic,5.20605607716475,0.00874392283524994
2023-05-23,CNY,5.2021,quadratic,5.2065754539696405,-0.004475453969640775
2023-05-24,CNY,5.1839,quadratic,5.207095656232413,-0.02319565623241271
2023-05-25,CNY,5.1881,quadratic,5.20761668395307,-0.019516683953069602
2023-05-26,CNY,5.1714,quadratic,5.208138537131611,-0.036738537131610904
2023-05-27,CNY,5.1714,quadratic,5.208661215768035,-0.03726121576803454
2023-05-28,CNY,5.1714,quadratic,5.209184719862343,-0.03778471986234244
2023-05-29,CNY,5.1823,quadratic,5.209709049414535,-0.027409049414535147
2023-05-30,CNY,5.168,quadratic,5.21023420442461,-0.04223420442461023
2023-05-31,CNY,5.1654,quadratic,5.210760184892569,-0.04536018489256932
2023-06-01,CNY,5.1449,quadratic,5.211286990818412,-0.06638699081841182
2023-06-02,CNY,5.1426,quadratic,5.211814622202138,-0.06921462220213837
2023-06-03,CNY,5.1426,quadratic,5.212343079043748,-0.06974307904374832
2023-06-04,CNY,5.1426,quadratic,5.2128723613432415,-0.07027236134324166
2023-06-05,CNY,5.1747,quadratic,5.213402469100619,-0.038702469100619474
2023-06-06,CNY,5.1384,quadratic,5.21393340231588,-0.07553340231588024
2023-06-07,CNY,5.1383,quadratic,5.2144651609890245,-0.07616516098902437
2023-06-08,CNY,5.1414,quadratic,5.214997745120053,-0.07359774512005313
2023-06-09,CNY,5.1297,quadratic,5.215531154708965,-0.08583115470896541
2023-06-10,CNY,5.1297,quadratic,5.2160653897557605,-0.0863653897557608
2023-06-11,CNY,5.1297,quadratic,5.21660045026044,-0.08690045026044046
2023-06-12,CNY,5.1301,quadratic,5.217136336223003,-0.08703633622300355
2023-06-13,CNY,5.1196,quadratic,5.21767304764345,-0.09807304764344948
2023-06-14,CNY,5.1145,quadratic,5.21821058452178,-0.10371058452178072
2023-06-15,CNY,5.1084,quadratic,5.218748946857994,-0.11034894685799479
2023-06-16,CNY,5.1064,quadratic,5.219288134652092,-0.11288813465209202
2023-06-17,CNY,5.1064,quadratic,5.219828147904074,-0.11342814790407374
2023-06-18,CNY,5.1064,quadratic,5.220368986613938,-0.11396898661393795
2023-06-19,CNY,5.1328,quadratic,5.220910650781687,-0.08811065078168756
2023-06-20,CNY,5.1087,quadratic,5.221453140407319,-0.11275314040731921
2023-06-21,CNY,5.0957,quadratic,5.221996455490835,-0.12629645549083524
2023-06-22,CNY,5.0879,quadratic,5.2225405960322355,-0.13464059603223522
2023-06-23,CNY,5.093,quadratic,5.223085562031518,-0.13008556203151844
2023-06-24,CNY,5.093,quadratic,5.223631353488686,-0.1306313534886856
2023-06-25,CNY,5.093,quadratic,5.224177970403737,-0.13117797040373702
2023-06-26,CNY,5.093,quadratic,5.224725412776671,-0.13172541277667094
2023-06-27,CNY,5.0555,quadratic,5.225273680607489,-0.16977368060748876
2023-06-28,CNY,5.0679,quadratic,5.225822773896191,-0.1579227738961908
2023-06-29,CNY,5.0463,quadratic,5.2263726926427765,-0.18007269264277692
2023-06-30,CNY,5.0543,quadratic,5.226923436847246,-0.17262343684724613
2023-07-01,CNY,5.0543,quadratic,5.227475006509598,-0.17317500650959872
2023-07-02,CNY,5.0543,quadratic,5.228027401629835,-0.17372740162983558
2023-07-03,CNY,5.031,quadratic,5.228580622207955,-0.1975806222079557
2023-07-04,CNY,5.0447,quadratic,5.229134668243959,-0.18443466824395927
2023-07-05,CNY,5.0659,quadratic,5.229689539737847,-0.16378953973784682
2023-07-06,CNY,5.0485,quadratic,5.230245236689618,-0.1817452366896184
2023-07-07,CNY,5.0566,quadratic,5.230801759099273,-0.17420175909927238
2023-07-08,CNY,5.0566,quadratic,5.231359106966812,-0.1747591069668113
2023-07-09,CNY,5.0566,quadratic,5.231917280292234,-0.1753172802922336
2023-07-10,CNY,5.0547,quadratic,5.23247627907554,-0.17777627907553928
2023-07-11,CNY,5.0528,quadratic,5.233036103316729,-0.18023610331672835
2023-07-12,CNY,5.0781,quadratic,5.233596753015802,-0.15549675301580201
2023-07-13,CNY,5.0843,quadratic,5.23415822817276,-0.14985822817275984
2023-07-14,CNY,5.1051,quadratic,5.2347205287876,-0.12962052878759955
2023-07-15,CNY,5.1051,quadratic,5.235283654860324,-0.1301836548603239
2023-07-16,CNY,5.1051,quadratic,5.235847606390932,-0.13074760639093164
2023-07-17,CNY,5.1247,quadratic,5.236412383379424,-0.11171238337942402
2023-07-18,CNY,5.1038,quadratic,5.236977985825799,-0.13317798582579954
2023-07-19,CNY,5.0967,quadratic,5.237544413730058,-0.14084441373005774
2023-07-20,CNY,5.0655,quadratic,5.238111667092201,-0.17261166709220088
2023-07-21,CNY,5.1031,quadratic,5.238679745912227,-0.135579745912227
2023-07-22,CNY,5.1031,quadratic,5.239248650190137,-0.13614865019013678
2023-07-23,CNY,5.1031,quadratic,5.23981837992593,-0.13671837992592994
2023-07-24,CNY,5.0935,quadratic,5.240388935119608,-0.1468889351196081
2023-07-25,CNY,5.0884,quadratic,5.2409603157711695,-0.15256031577116946
2023-07-26,CNY,5.1199,quadratic,5.241532521880614,-0.12163252188061335
2023-07-27,CNY,5.1128,quadratic,5.242105553447942,-0.12930555344794215
2023-07-28,CNY,5.1169,quadratic,5.242679410473154,-0.12577941047315377
2023-07-29,CNY,5.1169,quadratic,5.24325409295625,-0.12635409295624989
2023-07-30,CNY,5.1169,quadratic,5.24382960089723,-0.12692960089722938
2023-07-31,CNY,5.1095,quadratic,5.2444059342960925,-0.13490593429609277
2023-08-01,CNY,5.1148,quadratic,5.24498309315284,-0.13018309315283982
2023-08-02,CNY,5.1025,quadratic,5.245561077467469,-0.1430610774674692
2023-08-03,CNY,5.0955,quadratic,5.246139887239984,-0.15063988723998367
2023-08-04,CNY,5.0991,quadratic,5.246719522470381,-0.14761952247038135
2023-08-05,CNY,5.0991,quadratic,5.247299983158663,-0.1481999831586629
2023-08-06,CNY,5.0991,quadratic,5.247881269304828,-0.14878126930482782
2023-08-07,CNY,5.0889,quadratic,5.248463380908877,-0.15956338090887723
2023-08-08,CNY,5.0864,quadratic,5.24904631797081,-0.1626463179708093
